Action,Email Subject,ID,Last edited time,Owner,Priority,Project,Status,Update,Update History
ETL In progress,Fw: IQ Asiacell ETL implementation update,32,"August 18, 2026 8:19 AM",Meheden,High,IQ Asiacell,In progress,"2026-07-06 08:07 SAST — Francois follow-up requesting updated ETL implementation timelines (ETL for MSC, IMS, SMSC, USSD).","2026-07-06 08:07 SAST — Logged Francois follow-up request for updated ETL implementation timelines; updated Email Subject.

02/07 07:54 — Updated action with request to confirm ETL timelines for 4 sources by Sun 5 July (per Francois email).
Sun, Jun 7
See reminder to Meheden to confirm IMS Grammar

Moved older Update notes during cleanup:
30/6
see request to Meheden to update
23 Jun
FSD and IA provided by Abdulrahman
Tue, Jun 2
see email to Natalie and Meheden, Abdulrahman to share IA

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update."
Server delivery Status,FW: IQ Asiacell Assure Rev Key project actions,33,"August 11, 2026 5:49 PM",Rozh,High,IQ Asiacell,In progress,"11/8
Assume 1 October as handover to LATRO to start implementation.","2026-07-14 — Added assumed 1 August hardware delivery date and the associated IT readiness checks for Waleed’s review. Prior update retained.

2026-06-22 — Server delivery remained pending CMC approval.

2026-07-15 — PMO cleanup: moved the older dated update from Update to Update History and retained only the latest dated update in Update.

Moved from Update on 2026-08-11:
2026-07-14 — For IT Director confirmation: use 1 August 2026 as the current assumed hardware delivery date in the plan, while confirming whether CMC approval and release are secured. Validate installation readiness immediately after delivery, including rack/space, power, IP allocation, firewall rules, proxy whitelisting, OS build, and access dependencies.

2026-08-11 17:21 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History."
"
ATRA Escalation letter:

Failure to conduct and complete the Training programs at the Intermediate and Advanced levels.  
Provision of licenses and replacement of Cisco equipment.  
Provision of support and licenses related to Dell equipment and servers.  
Failure to complete the activities and requirements related to the Primary Site and Disaster Recovery (DR) Site",,37,"August 11, 2026 5:21 PM",Francois Du Toit <francoisd@latro.com>,Medium,AF RTDMS,In progress,2026-08-03 17:33 SAST — Status changed to Done at Francois’s request.,"2026-08-03 17:33 SAST — PMO agent changed Status from In progress to Done.

Moved from Update on 2026-08-11:
Wed, Jun 10
Action today: Send email to Marjan

2026-08-11 17:21 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History."
"
System monitoring and Alerting setup:
SOP
Escalation matrix
End to end monitoring and alerting",AF RTDMS Platform Monitoring and Alert management document,38,"August 19, 2026 8:17 AM",Aman Ehsan <amane@latro.com>,High,AF RTDMS,In progress,"2026-08-18 10:15 SAST — Francois asked how alerts will reach the NOC team (e.g., whether ManageEngine tickets are auto-generated) and whether monitoring for agent nodes at MNO sites can be implemented within ~2 weeks after all MNO routers are switched.","2026-08-18 10:15 SAST — Updated from email “AF RTDMS Platform Monitoring and Alert management document”: captured questions on NOC alert routing/ManageEngine auto-ticketing and 2-week monitoring implementation timeline for MNO agent nodes.

28/5 see email to team

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update.

Moved from Update on 2026-08-11:
29/5 see actions email to Aman and Abhijit

2026-08-11 17:21 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History

Moved from Update on 2026-08-19:
14/7
See email to Aman and Abhijit

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
"
Dell System backup license:
1. Replace NVRAM. (In Kabul Custom)
2. Dell to do health check warranty support pre requisites) 
3. Update warranty - contingent on item one and two above. 
4. Get pricing for DD6800 PowerProtect Data Manager Subscription (30) Sockets and R670 Backup server from Hazrat and compare to pricing received from Mughees at Mindware.",AF RTDMS Fw: URGENT RE: Data Domain DD6800 Capacity License Required to Proceed,41,"August 12, 2026 7:24 AM",Hazrat,High,AF RTDMS,In progress,"2026-08-12 07:24 SAST - Hazrat reports Dell TSE contacted mailto:najebi@atra.gov.af and mailto:amane@latroservices.com for the DD6800 capacity license re-certification, but no response yet; action is to urgently reach out to both and have them respond to Dell so licensing can proceed.","2026-08-12 07:24 SAST - Email update: Hazrat says Dell TSE contacted mailto:najebi@atra.gov.af and mailto:amane@latroservices.com for DD6800 capacity license recertification; both have not responded. Next step: reach out and get them to respond to Dell ASAP.

2026-07-28 18:25 SAST - Email update: Francois sent updated recertification form to Hazrat to proceed with Dell recertification/capacity license activity.

2026-07-22 10:35 SAST - Email update: Hazrat confirms quote request sent to Dell; waiting on Dell scan/warranty pricing to obtain/apply DD6800 capacity license and proceed.

2026-07-20 11:03 SAST - Updated action: noted NVRAM replaced and system healthy; blocker now capacity license required (43.66 TiB per pack) and Dell licensing support needed to proceed.

Mon, Jun 8
see email to Hazrat
see email from Aman, we will first replace the NVRAM, was received in US Office and Fahim will get it shipped to Kabul (16/6 see emails between Aman and Mughees from mindware on parallel pricing).
17/06/2026 11:13 SAST - Logged new email update: Mindware requests BoQ review/confirmation from Aman to proceed with pricing (subject: AF RTDMS Dell system backup license RE: Quotation).

15/2 see email to Fountain and Aman to get pricing and confirm if not in BOQ.
23/2 reminder sent
4/3 see feedback from Aman to Fountain
17/3 see email from Hameed to Fountain
10/5 see email to Fountain
19/5 see email from Rahim to Hazrat:
We have identified a critical alert related to the NVRAM module (Slot 0). We will first verify whether the module is faulty and update you accordingly.
Please proceed with the initial coordination for recertification
27/5 see emial to Rahim to provide status update and pricing
31/5 see email to Hazrat and Fountain. See email from Rahim to Hazrat that system is reporting critical alerts related to the NVRAM module, asking dell support for health check and replacement
16/6 13:12 SAST - Added request: Hazrat WA to load remaining 4 licenses (email subject: Af rtdms sssnt).

Moved older Update notes during cleanup:
30/6
Aman confirmed we need the server and backup license, see follow up to AMan
28/6
Pricing provided but need to confirm 300TB storage, see response to Mughees
23 Jun
See email from Mughees

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update.

Moved from Update on 2026-08-03:
2026-07-22 10:35 SAST - Hazrat shared with Dell to get the quote; request outstanding for Dell to proceed with scan/warranty pricing to enable capacity license and proceed with filesystem creation.

21/7
see email to Hazrat for dell to scan

2026-07-20 11:03 SAST - Hardware/NVRAM fault resolved (NVRAM replaced); DD6800 healthy and shelves detected. Current blocker is missing capacity license (""License Needed: 43.66 TiB"" per storage pack) — need Dell licensing support to obtain/apply capacity license so filesystem can be created and backup config can proceed.

13/7
See email to Aman, NVRAM cleared and installed? Dell test?
2/7
see email to Aman

2026-08-03 17:14 SAST — PMO cleanup: retained only the latest update in Update and moved all older entries to Update History."
User guide and manual update for MS4,,45,"August 11, 2026 5:21 PM","
Sanjay",Medium,AF RTDMS,In progress,2026-08-03 17:33 SAST — Status changed to Done at Francois’s request.,"2026-08-03 17:33 SAST — PMO agent changed Status from In progress to Done.

Moved from Update on 2026-08-11:
16/4 see email to Sanjay

2026-08-11 17:21 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History."
Solarwinds version upgrade and license renew. Check other software,AF RTDMS solarwinds,47,"August 3, 2026 5:14 PM",Rahimullah Hashimi,High,AF RTDMS,In progress,2026-07-26 06:26 SAST — Migration to temporary Windows Server 2022 VM completed; NPM 2024.2.1 installed; Orion DB restored to SQL Server 2022; admin login works but Orion Summary View throws error “RunQuery failed… Cannot resolve property IsSubscription”. Request SolarWinds support session/assistance.,"2026-07-26 06:26 SAST — Updated from email: temporary server migration done; post-login Orion Summary View error “Cannot resolve property IsSubscription”; requesting SolarWinds support session.
2026-07-22 10:36 SAST — Updated from email: arranging temporary server for SolarWinds install/migration; will update progress.

Moved from Update on 2026-08-03:
2026-07-22 10:36 SAST — Rahimullah confirmed they are arranging a temporary server for SolarWinds installation/migration; steps are clear and they will update progress / reach out if support is needed.

2026-08-03 17:14 SAST — PMO cleanup: retained only the latest update in Update and moved the older entry to Update History."
"
Validate T.1.3 network test report",,50,"August 10, 2026 4:57 PM",Aman,High,AF RTDMS,In progress,31/5 reminder sent to Aman,"12/5 request shared
18/5 reminder sent to Aman

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update."
Dell Blade server replacement MX760c: Use Dell Email received by Francois and Dell letter,,54,"August 11, 2026 5:20 PM",Marjan,High,AF RTDMS,In progress,"10/8
Aman to get Dell quote","2026-07-14 — Added Dell US EOS confirmation for MX760c/full MX range and retained action to conclude the replacement approach.

Moved from Update on 2026-08-11:
2026-07-14 — Weekly PMO update: Dell US advised by email that the MX760c and the entire MX range reached end of sale on 30 June 2026. Action remains to conclude the replacement approach with Dell.

2026-08-11 17:21 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History."
Urgent: Dell delivery dates,,55,"June 14, 2026 5:16 PM",Hazrat,Medium,AF RTDMS,In progress,"
Sun, Jun 7
See email to Hazrat",
Final Acceptance consultants SOW (FAC),,56,"July 4, 2026 8:03 AM",Aimal Marjan <aimalm@latro.com>,Medium,AF RTDMS,In progress,"22 Jun
Reminder sent to Marjan on WA","Sun, Jun 7
See SOW sent to Marjan, what did Safi say?

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update."
MNO TSF reports vs RTDMS misalignment: AWCC April and May,,58,"August 11, 2026 5:20 PM",Sanjay Verma <sanjayv@latro.com>,Medium,AF RTDMS,In progress,"11 Aug
See email from Sanjay to Najebi","Moved from Update on 2026-08-11:
Mon, Jun 8
See email from Sanjay: All revenues should be aligned in couple of days, except AWCC 2nd half April, which would take a bit longer as it need complete 2 weeks reprocessing. This is all considering we dont face network issue which result in file corruption during ftp.

2026-08-11 17:20 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History."
Zippylink next payment due for Dell and Cisco orders,,60,"August 10, 2026 4:56 PM",Hazrat,High,AF RTDMS,In progress,"20/7
See email to Hazrat","Wed, Jun 10
SEe email to Hazrat

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update.

Moved from Update during 2026-07-31 full audit:
18 Jun
See email, pay mid July

2026-07-31 17:47 SAST — Full PMO audit: retained only the most recent comment in Update."
Dell Warranty and next day support,Re: AF RTDMS Dell Warranty and SADMG,61,"August 19, 2026 8:16 AM",Rahimullah H,Medium,AF RTDMS,In progress,2026-08-16 07:41 SAST — Francois follow-up: please revert ASAP on confirming the BOQ accurately reflects all existing Dell equipment for warranty/support coverage.,"2026-08-16 07:41 SAST — Follow-up received from Francois requesting urgent response/confirmation on the Dell BOQ for warranty/support coverage.

2026-08-11 18:21 SAST — Logged request to confirm BOQ vs existing Dell equipment; action pending confirmation.

Moved from Update on 2026-08-19:
2026-08-11 18:21 SAST — Request Rahimullah H to confirm BOQ accurately reflects all existing Dell equipment for warranty/support coverage.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Application and system monitoring ownership: TV,"FW: Urgent: RE: Asiacell RAFM TDT V2.0 ",91,"June 18, 2026 8:14 AM","Aman, Ihab, Allison",Medium,IQ Asiacell,In progress,"18 June
see email to Aman, Ihab and Allison: Hi mailto:allisonc@latro.com, can you please share the TV PSA draft so we can add the relevant content?
 
Hi mailto:ihabs@latro.com, I will be drafting an email to Moamen summarizing their ownership and responsibility to ensure all our operational monitoring requirements are met via the Assure Rev alerting tools. Are you aligned with this decision?",
"System monitoring, alerting and SLA adherence dependency on SMTP (due to S2S not allowed)",RE: IQ Asiacell TDT: O&M Connection requirement,92,"June 23, 2026 6:23 PM",,Medium,IQ Asiacell,In progress,"18 June
see statment sent to Rozh and team",
"CR: Data feed Extra column(s) in CBS CDRs: MON: Rental CDR. 
This is a source/adaptor impact assessment. LATRO cannot confirm KPI or IFRS impact until Lebara provides actual sample CDRs which is expected in July.",Fw: High Priority: SA Lebara RE: Update Data CDR,97,"August 11, 2026 5:19 PM",Raja,High,SA Lebara,In progress,2026-08-04 13:16 SAST — Lebara (Tawheed Shah) expects the change to be deployed on the test bed by end of this month; sample CDR will be shared after deployment.,"2026-08-04 13:16 SAST — Updated per email: target test-bed deployment end of month; sample CDR to follow. Set Priority=High; updated Email Subject.
2026-07-20 07:46 SAST — Updated status: Lebara still working on IOT version; sample CDR pending from R&D; SR to be opened/assigned to Tawheed.

Moved from Update on 2026-08-11:
2026-07-20 07:46 SAST — Awaiting sample MON CDR (IOT version still being worked on by HQ/R&D). Lebara to open SR and assign to Tawheed Shah for support.

2026-08-11 17:20 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History."
2026 PO,RE: SA Lebara: RAFM CR Purchase Orders and Annex 5,98,"July 4, 2026 7:54 AM",Francois,Medium,SA Lebara,In progress,"30/6
See teams from Suleman, keep using original PO","28 Jun 2026 17:43 (SAST) — Updated action with follow-up request to issue 2026 & AMS POs; saved email subject for traceability.

28 Jun
Followed up with Abdulrahman: confirmed signed Annex 5 received; asked if PO for 2026 Managed Services and AMS has been issued.

24 Jun
see reminder to Abdulrahman. See teams from Suleman: also there is an issue internally on PO, the old PO is still open in system
11/6 Syed issue PR for AMS then Abdulrahman will create a new PO (AMS has different period than the 2026 Managed Services). Asked Abdulrahan to share PO

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update."
RAFM.VersaBlockerMS@lebara.sa recipients,,99,"June 19, 2026 1:41 PM",Syed,Medium,SA Lebara,In progress,9/3 see email to Syed,
Lebara HDFS Node 1 HDD replacement and Eid support,,101,"June 19, 2026 1:41 PM",Aman,Medium,SA Lebara,In progress,"20/3 see email from Aman:
Still working on it , not sure if we will be able to get Vinod’s support on this critical disk swap unless we offload the data to space disk . I will be working on it and keep you updated.",
PCRF: Manage Zipped files being received,,102,"July 4, 2026 7:54 AM",Abhijit,Medium,SA Lebara,In progress,23/4 see issues shared by Muhaiad to Sneha,"16/3 see email to Abhijit. Previous discussion:
Abhijit needs to do coding to process the 5 ZIP files and drop different PCRF files into correct folders, will require thorough testing.
Will revert later this week
23/3 WA sent to Abhijit

2026-07-04: PMO cleanup moved older Update notes into Update History and kept only the latest comment in Update."
MSR and QBR Planning,,103,"July 4, 2026 7:54 AM",Sindi,Medium,SA Lebara,In progress,7/5 see draft report shared with Suleman and request for meeting with CFO in week 17 before Eid,"7/5 see draft report shared with Suleman and request for meeting with CFO in week 17 before Eid

15/3 see email from Suleman to Badee and Sindi
Dear Badee
Thank for the email. I believe we can do this session after Eid Vacations and cover both months.
Dear Sindi
We have collected feedback regarding enhancements on MSR and other reporting and monitoring layer requirements pertaining to business cases, KPI triggers, Mediation KPI and MS Observation deck.
Kindly club all those points and circulate here in this email, it will support all stakeholders.


2026-07-04: PMO cleanup moved the older Update note into Update History and kept the latest known comment in Update."
Annual KPI report,,104,"June 19, 2026 1:41 PM",Raja,Medium,SA Lebara,In progress,7/5 see teams from Raja. Complete after MSR,
